"feature","frequency","rank","docfreq","group"
"the",21931,1,8336,"all"
"to",12018,2,6479,"all"
"and",11410,3,6057,"all"
"a",10474,4,5932,"all"
"of",9431,5,5331,"all"
"in",7476,6,4765,"all"
"i",6564,7,3313,"all"
"that",4827,8,3321,"all"
"is",4598,9,3288,"all"
"for",4545,10,3473,"all"
"it",3878,11,2724,"all"
"on",3436,12,2789,"all"
"you",3325,13,2242,"all"
"with",3275,14,2571,"all"
"was",2951,15,2005,"all"
"this",2371,16,1926,"all"
"at",2358,17,1973,"all"
"my",2311,18,1595,"all"
"as",2309,19,1667,"all"
"be",2305,20,1868,"all"
"have",2245,21,1812,"all"
"but",2227,22,1923,"all"
"he",2139,23,1366,"all"
"are",2073,24,1606,"all"
"we",1835,25,1175,"all"
"not",1771,26,1468,"all"
"from",1747,27,1495,"all"
"so",1559,28,1325,"all"
"said",1515,29,1376,"all"
"they",1499,30,1123,"all"
"his",1436,31,1028,"all"
"will",1406,32,1159,"all"
"or",1396,33,1122,"all"
"by",1391,34,1205,"all"
"all",1372,35,1191,"all"
"me",1370,36,1105,"all"
"about",1327,37,1125,"all"
"an",1292,38,1148,"all"
"one",1242,39,1092,"all"
"up",1185,40,1048,"all"
"out",1167,41,1059,"all"
"when",1165,42,1044,"all"
"if",1151,43,1005,"all"
"who",1133,44,969,"all"
"has",1115,45,966,"all"
"just",1110,46,989,"all"
"your",1101,47,829,"all"
"what",1096,48,950,"all"
"more",1092,49,942,"all"
"had",1088,50,902,"all"
"like",1084,51,948,"all"
"their",1023,52,811,"all"
"can",999,53,870,"all"
"do",974,54,837,"all"
"her",945,55,599,"all"
"time",940,56,836,"all"
"there",929,57,799,"all"
"she",923,58,593,"all"
"some",894,59,787,"all"
"would",859,60,700,"all"
"no",824,61,742,"all"
"been",812,62,731,"all"
"get",807,63,740,"all"
"were",797,64,667,"all"
"our",795,65,597,"all"
"new",779,66,671,"all"
"them",730,67,592,"all"
"which",718,68,656,"all"
"now",683,69,648,"all"
"it's",681,70,573,"all"
"how",675,71,609,"all"
"people",665,72,568,"all"
"into",652,73,596,"all"
"good",649,74,587,"all"
"know",628,75,558,"all"
"other",628,75,582,"all"
"day",621,77,560,"all"
"also",614,78,572,"all"
"than",609,79,556,"all"
"first",605,80,562,"all"
"because",589,81,531,"all"
"make",580,82,536,"all"
"then",575,83,513,"all"
"him",574,84,441,"all"
"back",548,85,496,"all"
"after",546,86,505,"all"
"two",541,87,474,"all"
"year",533,88,474,"all"
"last",531,89,505,"all"
"love",530,90,470,"all"
"much",530,90,489,"all"
"i'm",527,92,463,"all"
"its",525,93,461,"all"
"only",515,94,478,"all"
"us",513,95,437,"all"
"think",510,96,461,"all"
"go",508,97,480,"all"
"see",502,98,461,"all"
"over",496,99,460,"all"
"really",487,100,430,"all"
"even",485,101,454,"all"
"going",482,102,439,"all"
"could",473,103,433,"all"
"still",467,104,446,"all"
"way",467,104,425,"all"
"too",458,106,421,"all"
"work",457,107,407,"all"
"well",445,108,417,"all"
"got",444,109,401,"all"
"very",437,110,388,"all"
"those",432,111,379,"all"
"did",427,112,389,"all"
"where",426,113,379,"all"
"here",420,114,392,"all"
"don't",415,115,383,"all"
"most",410,116,389,"all"
"off",408,117,380,"all"
"these",405,118,376,"all"
"right",404,119,365,"all"
"any",395,120,363,"all"
"made",394,121,371,"all"
"through",391,122,356,"all"
"years",388,123,358,"all"
"want",383,124,348,"all"
"many",380,125,353,"all"
"little",378,126,327,"all"
"down",378,126,358,"all"
"life",373,128,322,"all"
"today",371,129,349,"all"
"am",368,130,313,"all"
"home",368,130,334,"all"
"great",364,132,342,"all"
"take",362,133,350,"all"
"while",360,134,342,"all"
"before",359,135,341,"all"
"may",356,136,327,"all"
"never",350,137,320,"all"
"need",349,138,317,"all"
"being",349,138,324,"all"
"should",348,140,323,"all"
"next",344,141,323,"all"
"say",326,142,300,"all"
"something",318,143,295,"all"
"state",318,143,280,"all"
"week",315,145,290,"all"
"things",305,146,274,"all"
"best",302,147,272,"all"
"night",299,148,278,"all"
"school",298,149,242,"all"
"around",293,150,280,"all"
"come",291,151,285,"all"
"every",290,152,268,"all"
"another",288,153,272,"all"
"such",280,154,264,"all"
"always",274,155,247,"all"
"few",266,156,247,"all"
"it’s",265,157,215,"all"
"world",264,158,236,"all"
"three",262,159,235,"all"
"look",260,160,244,"all"
"better",259,161,241,"all"
"big",258,162,238,"all"
"game",258,162,230,"all"
"both",257,164,244,"all"
"again",253,165,237,"all"
"long",251,166,241,"all"
"since",248,167,241,"all"
"find",248,167,234,"all"
"house",248,167,213,"all"
"each",246,170,227,"all"
"city",243,171,216,"all"
"part",243,171,230,"all"
"feel",243,171,222,"all"
"help",242,174,226,"all"
"until",238,175,219,"all"
"same",238,175,226,"all"
"why",235,177,220,"all"
"days",235,177,217,"all"
"show",235,177,205,"all"
"used",232,180,208,"all"
"own",229,181,207,"all"
"thing",228,182,214,"all"
"end",227,183,217,"all"
"season",227,183,205,"all"
"though",222,185,217,"all"
"thanks",222,185,219,"all"
"sure",219,187,209,"all"
"does",218,188,203,"all"
"that's",218,188,207,"all"
"man",218,188,200,"all"
"place",215,191,195,"all"
"use",214,192,207,"all"
"family",214,192,202,"all"
"put",213,194,206,"all"
"says",213,194,208,"all"
"give",210,196,198,"all"
"against",210,196,186,"all"
"i’m",207,198,167,"all"
"hope",207,198,200,"all"
"high",206,200,188,"all"
"can't",206,200,198,"all"
"let",206,200,200,"all"
"during",205,203,197,"all"
"went",204,204,186,"all"
"without",202,205,193,"all"
"getting",201,206,192,"all"
"old",201,206,176,"all"
"might",201,206,185,"all"
"keep",200,209,190,"all"
"book",200,209,161,"all"
"team",200,209,185,"all"
"lot",199,212,191,"all"
"play",196,213,176,"all"
